date,SalesAmount,year,month,day,weekday,holiday1,holiday9,holiday5,holiday4,holiday2,holiday10,holiday3,holiday6,holiday7,holiday8,short_business_hour,day_temp,night_temp,day_weather,night_weather,event,web_traffic,training
2016-04-06,14710,2016,4,6,4,0,0,0,0,0,0,0,0,0,0,0,16,13,med_trouble,little_trouble,0,253,1
2016-03-07,14489,2016,3,7,2,0,0,0,0,0,0,0,0,0,0,0,24,8,good,small_trouble,0,287,1
2016-04-23,41190,2016,4,23,7,0,0,0,0,0,0,0,0,0,0,0,23,15,little_trouble,good,0,533,1
2016-03-31,14490,2016,3,31,5,0,0,0,0,0,0,0,0,0,0,0,21,12,good,good,0,300,0
2016-04-03,27473,2016,4,3,1,0,0,1,0,0,0,0,0,0,0,0,17,11,small_trouble,good,0,392,1
2016-03-27,28100,2016,3,27,1,0,0,0,0,0,0,0,0,0,0,0,20,6,good,good,0,519,1
2016-03-14,12018,2016,3,14,2,0,0,0,0,0,0,0,0,0,0,0,16,5,good,good,0,276,1
2016-03-16,12207,2016,3,16,4,0,0,0,0,0,0,0,0,0,0,0,16,10,fair,little_trouble,0,281,1
2016-03-29,13542,2016,3,29,3,0,0,0,0,0,0,0,0,0,0,0,20,12,little_trouble,small_trouble,0,247,0
2016-03-19,29466,2016,3,19,7,0,0,0,0,0,0,0,0,0,0,0,23,13,good,good,0,483,1
2016-03-20,27314,2016,3,20,1,0,0,0,0,0,0,0,0,0,0,0,23,12,little_trouble,little_trouble,0,498,1
2016-03-09,13313,2016,3,9,4,0,0,0,0,0,0,0,0,0,0,0,7,2,fair,fair,0,240,1
2016-04-08,16859,2016,4,8,6,0,0,0,0,0,0,0,0,0,0,0,25,14,good,good,0,317,1
2016-04-09,25504,2016,4,9,7,0,0,0,0,0,0,0,0,0,0,0,24,16,fair,good,0,426,1
2016-04-10,28887,2016,4,10,1,0,0,0,0,0,0,0,0,0,0,0,26,15,good,good,0,508,1
2016-04-12,10326,2016,4,12,3,0,0,0,0,0,0,0,0,0,0,0,26,16,fair,good,0,266,1
2016-03-15,14070,2016,3,15,3,0,0,0,0,0,0,0,0,0,0,0,13,6,fair,good,0,257,1
2016-04-13,12466,2016,4,13,4,0,0,0,0,0,0,0,0,0,0,0,28,16,good,good,0,283,0
2016-04-14,16909,2016,4,14,5,0,0,0,0,0,0,0,0,0,0,0,26,16,little_trouble,little_trouble,0,287,1
2016-04-17,32905,2016,4,17,1,0,0,0,0,0,0,0,0,0,0,0,19,10,little_trouble,good,0,506,0
2016-03-17,14804,2016,3,17,5,0,0,0,0,0,0,0,0,0,0,0,14,11,little_trouble,good,0,269,1
2016-04-21,17578,2016,4,21,5,0,0,0,0,0,0,0,0,0,0,0,26,16,good,good,0,341,0
2016-03-06,29066,2016,3,6,1,0,0,0,0,0,0,0,0,0,0,0,22,12,good,good,0,534,1
2016-04-22,28552,2016,4,22,6,0,0,0,0,0,0,0,0,0,0,0,25,17,good,little_trouble,0,400,0
2016-03-11,18662,2016,3,11,6,0,0,0,0,0,0,0,0,0,0,0,12,2,good,good,0,342,1
2016-03-12,29154,2016,3,12,7,0,0,0,0,0,0,0,0,0,0,0,14,6,good,fair,0,462,1
2016-04-24,34483,2016,4,24,1,0,0,0,0,0,0,0,0,0,0,0,20,15,good,little_trouble,0,626,0
2016-04-25,12717,2016,4,25,2,0,0,0,0,0,0,0,0,0,0,0,21,16,little_trouble,little_trouble,0,305,0
2016-04-26,15285,2016,4,26,3,0,0,0,0,0,0,0,0,0,0,0,21,16,little_trouble,good,0,295,1
2016-04-27,14958,2016,4,27,4,0,0,0,0,0,0,0,0,0,0,0,25,14,good,good,0,320,1
2016-04-28,15817,2016,4,28,5,0,0,0,0,0,0,0,0,0,0,0,26,16,good,good,0,354,1
2016-04-30,30894,2016,4,30,7,0,0,0,1,0,0,0,0,0,0,0,29,19,good,good,0,651,0
2016-04-04,26309,2016,4,4,2,0,0,1,0,0,0,0,0,0,0,0,17,14,good,good,0,461,0
2016-03-21,11887,2016,3,21,2,0,0,0,0,0,0,0,0,0,0,0,19,11,good,good,0,269,0
2016-04-05,13120,2016,4,5,3,0,0,0,0,0,0,0,0,0,0,0,18,14,med_trouble,med_trouble,0,262,1
2016-04-07,13662,2016,4,7,5,0,0,0,0,0,0,0,0,0,0,0,22,13,fair,good,0,309,1
2016-03-22,12548,2016,3,22,3,0,0,0,0,0,0,0,0,0,0,0,18,11,little_trouble,little_trouble,0,272,1
2016-03-23,12318,2016,3,23,4,0,0,0,0,0,0,0,0,0,0,0,16,8,fair,good,0,267,1
2016-04-11,12693,2016,4,11,2,0,0,0,0,0,0,0,0,0,0,0,26,15,good,good,0,285,1
2016-03-24,19868,2016,3,24,5,0,0,0,0,0,0,0,0,0,0,0,15,4,good,good,0,336,1
2016-03-10,25738,2016,3,10,5,0,0,0,0,0,0,0,0,0,0,0,9,0,good,good,0,296,1
